file,line,old_name,new_name,reason
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,76,GetScriptHashModel,GetScriptHash,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,85,ListUnspentModel,ListUnspent,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,88,ItemModel,Item,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,110,SubscribeModel,Subscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,128,SubscribeNotificationModel,SubscribeNotification,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+AddressModel.swift,145,UnsubscribeModel,Unsubscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+BlockModel.swift,4,BlockModel,Block,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+BlockModel.swift,5,HeaderModel,Header,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+BlockModel.swift,9,ProofModel,Proof,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+BlockModel.swift,28,HeadersModel,Headers,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+EstimateFeeModel.swift,4,EstimateFeeModel,EstimateFee,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeaderModel.swift,4,HeaderModel,Header,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeaderModel.swift,5,GetModel,Get,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeadersModel.swift,4,HeadersModel,Headers,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeadersModel.swift,5,GetTipModel,GetTip,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeadersModel.swift,16,SubscribeModel,Subscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeadersModel.swift,35,SubscribeNotificationModel,SubscribeNotification,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeadersModel.swift,39,BlockModel,Block,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+HeadersModel.swift,58,UnsubscribeModel,Unsubscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+RelayFeeModel.swift,4,RelayFeeModel,RelayFee,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,4,ScriptHashModel,ScriptHash,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,5,GetBalanceModel,GetBalance,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,16,GetFirstUseModel,GetFirstUse,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,36,GetHistoryModel,GetHistory,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,38,TransactionModel,Transaction,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,56,GetMempoolModel,GetMempool,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,58,TransactionModel,Transaction,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,76,ListUnspentModel,ListUnspent,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,79,ItemModel,Item,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,101,SubscribeModel,Subscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,120,SubscribeNotificationModel,SubscribeNotification,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+ScriptHashModel.swift,137,UnsubscribeModel,Unsubscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+TransactionModel.swift,4,TransactionModel,Transaction,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+UTXOModel.swift,4,UTXOModel,UTXO,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel+UTXOModel.swift,5,GetInfoModel,GetInfo,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+BroadcastModel.swift,4,BroadcastModel,Broadcast,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,4,DSProofModel,DSProof,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,5,GetModel,Get,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,12,OutpointModel,Outpoint,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,33,ListModel,List,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,43,SubscribeModel,Subscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,60,SubscribeNotificationModel,SubscribeNotification,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+DSProofModel.swift,109,UnsubscribeModel,Unsubscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetConfirmedBlockHashModel.swift,4,GetConfirmedBlockHashModel,GetConfirmedBlockHash,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetHeightModel.swift,4,GetHeightModel,GetHeight,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetMerkleModel.swift,4,GetMerkleModel,GetMerkle,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetModel.swift,4,GetModel,Get,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetModel.swift,18,InputModel,Input,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetModel.swift,31,ScriptSigModel,ScriptSig,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetModel.swift,42,OutputModel,Output,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+GetModel.swift,53,ScriptPubKeyModel,ScriptPubKey,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+IDFromPosModel.swift,4,IDFromPosModel,IDFromPos,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+SubscribeModel.swift,4,SubscribeModel,Subscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+SubscribeNotificationModel.swift,4,SubscribeNotificationModel,SubscribeNotification,DuplicateRoleSuffix
Sources/SwiftFulcrum/Method/Response/FulcrumResponse.ResultModel.BlockchainModel.TransactionModel+UnsubscribeModel.swift,4,UnsubscribeModel,Unsubscribe,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/Client/FulcrumNetworkClient+CallModel.swift,10,OptionsModel,Options,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/Client/FulcrumNetworkClient+CallModel.swift,20,TokenModel,Token,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/Client/FulcrumNetworkClient~JSONRPCModel.swift,40,DSProofModel,DSProof,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/WebSocket/WebSocketModel+ConnectionStateTrackerModel.swift,6,ConnectionStateTrackerModel,ConnectionStateTracker,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/WebSocket/WebSocketModel+LifecycleModel.swift,6,LifecycleModel,Lifecycle,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/WebSocket/WebSocketModel+LifecycleModel.swift,10,EventModel,Event,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/WebSocket/WebSocketModel+ReconnectorModel.swift,6,ReconnectorModel,Reconnector,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/WebSocket/WebSocketModel+ServerModel.swift,6,ServerModel,Server,DuplicateRoleSuffix
Sources/SwiftFulcrum/Network/WebSocket/WebSocketModel+ServerModel.swift,7,CodingKeysModel,CodingKeys,DuplicateRoleSuffix
